year,t1,t2,t3,t4,patch_row,patch_col,has_fire
2018,20180117,20180202,20180218,20180306,0,0,0
2018,20180117,20180202,20180218,20180306,0,16,0
2018,20180117,20180202,20180218,20180306,0,32,0
2018,20180117,20180202,20180218,20180306,0,48,0
2018,20180117,20180202,20180218,20180306,0,64,0
2018,20180117,20180202,20180218,20180306,0,80,0
2018,20180117,20180202,20180218,20180306,0,96,0
2018,20180117,20180202,20180218,20180306,0,112,0
2018,20180117,20180202,20180218,20180306,0,128,0
2018,20180117,20180202,20180218,20180306,0,144,0
2018,20180117,20180202,20180218,20180306,0,160,0
2018,20180117,20180202,20180218,20180306,0,176,0
2018,20180117,20180202,20180218,20180306,0,192,0
2018,20180117,20180202,20180218,20180306,0,208,0
2018,20180117,20180202,20180218,20180306,0,224,0
2018,20180117,20180202,20180218,20180306,0,240,0
2018,20180117,20180202,20180218,20180306,0,256,0
2018,20180117,20180202,20180218,20180306,0,272,0
2018,20180117,20180202,20180218,20180306,0,288,0
2018,20180117,20180202,20180218,20180306,0,304,0
2018,20180117,20180202,20180218,20180306,0,320,0
2018,20180117,20180202,20180218,20180306,0,336,0
2018,20180117,20180202,20180218,20180306,0,352,0
2018,20180117,20180202,20180218,20180306,0,368,0
2018,20180117,20180202,20180218,20180306,0,384,0
2018,20180117,20180202,20180218,20180306,0,400,0
2018,20180117,20180202,20180218,20180306,0,416,0
2018,20180117,20180202,20180218,20180306,0,432,0
2018,20180117,20180202,20180218,20180306,0,448,0
2018,20180117,20180202,20180218,20180306,0,464,0
2018,20180117,20180202,20180218,20180306,0,480,0
2018,20180117,20180202,20180218,20180306,0,496,0
2018,20180117,20180202,20180218,20180306,0,512,0
2018,20180117,20180202,20180218,20180306,0,528,0
2018,20180117,20180202,20180218,20180306,0,544,0
2018,20180117,20180202,20180218,20180306,0,560,0
2018,20180117,20180202,20180218,20180306,0,576,0
2018,20180117,20180202,20180218,20180306,0,592,0
2018,20180117,20180202,20180218,20180306,0,608,0
2018,20180117,20180202,20180218,20180306,0,624,0
2018,20180117,20180202,20180218,20180306,0,640,0
2018,20180117,20180202,20180218,20180306,0,656,0
2018,20180117,20180202,20180218,20180306,0,672,0
2018,20180117,20180202,20180218,20180306,0,688,0
2018,20180117,20180202,20180218,20180306,0,704,0
2018,20180117,20180202,20180218,20180306,0,720,0
2018,20180117,20180202,20180218,20180306,0,736,0
2018,20180117,20180202,20180218,20180306,0,752,0
2018,20180117,20180202,20180218,20180306,0,768,0
2018,20180117,20180202,20180218,20180306,0,784,0
2018,20180117,20180202,20180218,20180306,0,800,0
2018,20180117,20180202,20180218,20180306,0,816,0
2018,20180117,20180202,20180218,20180306,0,832,0
2018,20180117,20180202,20180218,20180306,0,848,0
2018,20180117,20180202,20180218,20180306,0,864,0
2018,20180117,20180202,20180218,20180306,0,880,0
2018,20180117,20180202,20180218,20180306,16,0,0
2018,20180117,20180202,20180218,20180306,16,16,0
2018,20180117,20180202,20180218,20180306,16,32,0
2018,20180117,20180202,20180218,20180306,16,48,0
2018,20180117,20180202,20180218,20180306,16,64,0
2018,20180117,20180202,20180218,20180306,16,80,0
2018,20180117,20180202,20180218,20180306,16,96,0
2018,20180117,20180202,20180218,20180306,16,112,0
2018,20180117,20180202,20180218,20180306,16,128,0
2018,20180117,20180202,20180218,20180306,16,144,0
2018,20180117,20180202,20180218,20180306,16,160,0
2018,20180117,20180202,20180218,20180306,16,176,0
2018,20180117,20180202,20180218,20180306,16,192,0
2018,20180117,20180202,20180218,20180306,16,208,0
2018,20180117,20180202,20180218,20180306,16,224,0
2018,20180117,20180202,20180218,20180306,16,240,0
2018,20180117,20180202,20180218,20180306,16,256,0
2018,20180117,20180202,20180218,20180306,16,272,0
2018,20180117,20180202,20180218,20180306,16,288,0
2018,20180117,20180202,20180218,20180306,16,304,0
2018,20180117,20180202,20180218,20180306,16,320,0
2018,20180117,20180202,20180218,20180306,16,336,0
2018,20180117,20180202,20180218,20180306,16,352,0
2018,20180117,20180202,20180218,20180306,16,368,0
2018,20180117,20180202,20180218,20180306,16,384,0
2018,20180117,20180202,20180218,20180306,16,400,0
2018,20180117,20180202,20180218,20180306,16,416,0
2018,20180117,20180202,20180218,20180306,16,432,0
2018,20180117,20180202,20180218,20180306,16,448,0
2018,20180117,20180202,20180218,20180306,16,464,0
2018,20180117,20180202,20180218,20180306,16,480,0
2018,20180117,20180202,20180218,20180306,16,496,0
2018,20180117,20180202,20180218,20180306,16,512,0
2018,20180117,20180202,20180218,20180306,16,528,0
2018,20180117,20180202,20180218,20180306,16,544,0
2018,20180117,20180202,20180218,20180306,16,560,0
2018,20180117,20180202,20180218,20180306,16,576,0
2018,20180117,20180202,20180218,20180306,16,592,0
2018,20180117,20180202,20180218,20180306,16,608,0
2018,20180117,20180202,20180218,20180306,16,624,0
2018,20180117,20180202,20180218,20180306,16,640,0
2018,20180117,20180202,20180218,20180306,16,656,0
2018,20180117,20180202,20180218,20180306,16,672,0
2018,20180117,20180202,20180218,20180306,16,688,0
2018,20180117,20180202,20180218,20180306,16,704,0
2018,20180117,20180202,20180218,20180306,16,720,0
2018,20180117,20180202,20180218,20180306,16,736,0
2018,20180117,20180202,20180218,20180306,16,752,0
2018,20180117,20180202,20180218,20180306,16,768,0
2018,20180117,20180202,20180218,20180306,16,784,0
2018,20180117,20180202,20180218,20180306,16,800,0
2018,20180117,20180202,20180218,20180306,16,816,0
2018,20180117,20180202,20180218,20180306,16,832,0
2018,20180117,20180202,20180218,20180306,16,848,0
2018,20180117,20180202,20180218,20180306,16,864,0
2018,20180117,20180202,20180218,20180306,16,880,0
2018,20180117,20180202,20180218,20180306,32,0,0
2018,20180117,20180202,20180218,20180306,32,16,0
2018,20180117,20180202,20180218,20180306,32,32,0
2018,20180117,20180202,20180218,20180306,32,48,0
2018,20180117,20180202,20180218,20180306,32,64,0
2018,20180117,20180202,20180218,20180306,32,80,0
2018,20180117,20180202,20180218,20180306,32,96,0
2018,20180117,20180202,20180218,20180306,32,112,0
2018,20180117,20180202,20180218,20180306,32,128,0
2018,20180117,20180202,20180218,20180306,32,144,0
2018,20180117,20180202,20180218,20180306,32,160,0
2018,20180117,20180202,20180218,20180306,32,176,0
2018,20180117,20180202,20180218,20180306,32,192,0
2018,20180117,20180202,20180218,20180306,32,208,0
2018,20180117,20180202,20180218,20180306,32,224,0
2018,20180117,20180202,20180218,20180306,32,240,0
2018,20180117,20180202,20180218,20180306,32,256,0
2018,20180117,20180202,20180218,20180306,32,272,0
2018,20180117,20180202,20180218,20180306,32,288,0
2018,20180117,20180202,20180218,20180306,32,304,0
2018,20180117,20180202,20180218,20180306,32,320,0
2018,20180117,20180202,20180218,20180306,32,336,0
2018,20180117,20180202,20180218,20180306,32,352,0
2018,20180117,20180202,20180218,20180306,32,368,0
2018,20180117,20180202,20180218,20180306,32,384,0
2018,20180117,20180202,20180218,20180306,32,400,0
2018,20180117,20180202,20180218,20180306,32,416,0
